2023-03-25 15:42:29 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.1.7.Final 
2023-03-25 15:42:29 [restartedMain] INFO  c.v.WebsiteSellClothesApplication                  - Starting WebsiteSellClothesApplication using Java 11.0.18 on MSI with PID 30716 (C:\My Project\Mock\Mock\Mock_Project\WebsiteSellClothes\target\classes started by Tu in C:\My Project\Mock\Mock\Mock_Project\WebsiteSellClothes) 
2023-03-25 15:42:29 [restartedMain] INFO  c.v.WebsiteSellClothesApplication                  - No active profile set, falling back to default profiles: default 
2023-03-25 15:42:29 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2023-03-25 15:42:29 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2023-03-25 15:42:31 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-03-25 15:42:31 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 206 ms. Found 14 JPA repository interfaces. 
2023-03-25 15:42:32 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@73964e79' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-03-25 15:42:32 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-03-25 15:42:33 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http) 
2023-03-25 15:42:33 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2023-03-25 15:42:33 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2023-03-25 15:42:33 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.41] 
2023-03-25 15:42:33 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2023-03-25 15:42:33 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 3655 ms 
2023-03-25 15:42:33 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2023-03-25 15:42:33 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2023-03-25 15:42:34 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2023-03-25 15:42:34 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2023-03-25 15:42:34 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.4.27.Final 
2023-03-25 15:42:34 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2023-03-25 15:42:34 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect 
2023-03-25 15:42:35 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2023-03-25 15:42:35 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2023-03-25 15:42:37 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3dce81a7, org.springframework.security.web.context.SecurityContextPersistenceFilter@32916e1, org.springframework.security.web.header.HeaderWriterFilter@4e12bc5f, org.springframework.web.filter.CorsFilter@5b070b13, org.springframework.security.web.authentication.logout.LogoutFilter@435bdc7f, com.vti.security.jwt.AuthTokenFilter@7c0851f7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@30d2f8c4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@58d8cb71, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3b877362, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@48846e75, org.springframework.security.web.session.SessionManagementFilter@279442d4, org.springframework.security.web.access.ExceptionTranslationFilter@495479c7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@496b6aac] 
2023-03-25 15:42:37 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor                     - Initializing ExecutorService 'applicationTaskExecutor' 
2023-03-25 15:42:37 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729 
2023-03-25 15:42:38 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8080"] 
2023-03-25 15:42:38 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (http) with context path '' 
2023-03-25 15:42:38 [restartedMain] INFO  c.v.WebsiteSellClothesApplication                  - Started WebsiteSellClothesApplication in 10.137 seconds (JVM running for 12.796) 
2023-03-25 16:03:42 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor                     - Shutting down ExecutorService 'applicationTaskExecutor' 
2023-03-25 16:03:42 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default' 
2023-03-25 16:03:42 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated... 
2023-03-25 16:03:42 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed. 
